phase,condition,radius,protocol,rec_gain,ground_gain,actual_update_norm
sft,uniform,0.005,convex_unit,-0.00037644198164343834,0.0007231072522699833,0.004999999888241291
sft,best_single,0.005,convex_unit,0.0035697314888238907,0.0019070301204919815,0.004999998491257429
sft,A,0.005,convex_unit,0.0035697314888238907,0.0019070301204919815,0.004999998491257429
sft,B,0.005,convex_unit,0.002483053132891655,0.0025075930170714855,0.005000000819563866
sft,AB,0.005,convex_unit,0.003091077785938978,0.002174940425902605,0.00389878754504025
sft,random_pair,0.005,convex_unit,0.0006255623884499073,0.000539144966751337,0.003589122323319316
sft,uniform,0.005,equal_final_norm,-0.00037644198164343834,0.0007231072522699833,0.004999999888241291
sft,best_single,0.005,equal_final_norm,0.0035697314888238907,0.0019070301204919815,0.004999998491257429
sft,A,0.005,equal_final_norm,0.0035697314888238907,0.0019070301204919815,0.004999998491257429
sft,B,0.005,equal_final_norm,0.002483053132891655,0.0025075930170714855,0.005000000819563866
sft,AB,0.005,equal_final_norm,0.003961071837693453,0.002787398174405098,0.005000000819563866
sft,random_pair,0.005,equal_final_norm,0.0008709430694580078,0.0007509603165090084,0.005000000819563866
sft,uniform,0.01,convex_unit,-0.0007718601264059544,0.0014429478906095028,0.009999999776482582
sft,best_single,0.01,convex_unit,0.007124100811779499,0.003800762817263603,0.009999998845160007
sft,A,0.01,convex_unit,0.007124100811779499,0.003800762817263603,0.009999998845160007
sft,B,0.01,convex_unit,0.004948354791849852,0.00500155845656991,0.009999999776482582
sft,AB,0.01,convex_unit,0.006167697720229626,0.004341515246778727,0.007797573693096638
sft,random_pair,0.01,convex_unit,0.0012487126514315605,0.0010770834051072598,0.007178242318332195
sft,uniform,0.01,equal_final_norm,-0.0007718601264059544,0.0014429478906095028,0.009999999776482582
sft,best_single,0.01,equal_final_norm,0.007124100811779499,0.003800762817263603,0.009999998845160007
sft,A,0.01,equal_final_norm,0.007124100811779499,0.003800762817263603,0.009999998845160007
sft,B,0.01,equal_final_norm,0.004948354791849852,0.00500155845656991,0.009999999776482582
sft,AB,0.01,equal_final_norm,0.007899058517068624,0.005562062840908766,0.009999999776482582
sft,random_pair,0.01,equal_final_norm,0.00173618970438838,0.0014991946518421173,0.010000000707805157
rl_expected,uniform,0.005,convex_unit,-0.012963145039975643,-0.006372861098498106,0.004999999888241291
rl_expected,best_single,0.005,convex_unit,0.0009382003918290138,0.0005583120509982109,0.005000000819563866
rl_expected,A,0.005,convex_unit,0.0007609077729284763,0.0005205925554037094,0.005000000353902578
rl_expected,B,0.005,convex_unit,0.0009382003918290138,0.0005583120509982109,0.005000000819563866
rl_expected,AB,0.005,convex_unit,0.0008129221387207508,0.0005328282713890076,0.0038936366327106953
rl_expected,random_pair,0.005,convex_unit,-0.0002985759638249874,4.952074959874153e-05,0.00385014689527452
rl_expected,uniform,0.005,equal_final_norm,-0.012963145039975643,-0.006372861098498106,0.004999999888241291
rl_expected,best_single,0.005,equal_final_norm,0.0009382003918290138,0.0005583120509982109,0.005000000819563866
rl_expected,A,0.005,equal_final_norm,0.0007609077729284763,0.0005205925554037094,0.005000000353902578
rl_expected,B,0.005,equal_final_norm,0.0009382003918290138,0.0005583120509982109,0.005000000819563866
rl_expected,AB,0.005,equal_final_norm,0.0010433397255837917,0.0006829868070781231,0.00500000175088644
rl_expected,random_pair,0.005,equal_final_norm,-0.00038716988638043404,6.291037425398827e-05,0.00500000175088644
rl_expected,uniform,0.01,convex_unit,-0.026092580519616604,-0.012761570513248444,0.010000000707805157
rl_expected,best_single,0.01,convex_unit,0.0018583978526294231,0.0011087683960795403,0.009999999776482582
rl_expected,A,0.01,convex_unit,0.0015163836069405079,0.0010376065038144588,0.010000001639127731
rl_expected,B,0.01,convex_unit,0.0018583978526294231,0.0011087683960795403,0.009999999776482582
rl_expected,AB,0.01,convex_unit,0.0016209008172154427,0.0010625473223626614,0.007787276059389114
rl_expected,random_pair,0.01,convex_unit,-0.0005962932482361794,9.196531027555466e-05,0.00770029379054904
rl_expected,uniform,0.01,equal_final_norm,-0.026092580519616604,-0.012761570513248444,0.010000000707805157
rl_expected,best_single,0.01,equal_final_norm,0.0018583978526294231,0.0011087683960795403,0.009999999776482582
rl_expected,A,0.01,equal_final_norm,0.0015163836069405079,0.0010376065038144588,0.010000001639127731
rl_expected,B,0.01,equal_final_norm,0.0018583978526294231,0.0011087683960795403,0.009999999776482582
rl_expected,AB,0.01,equal_final_norm,0.002078413497656584,0.001363319344818592,0.009999999776482582
rl_expected,random_pair,0.01,equal_final_norm,-0.0007747644558548927,0.0001132739707827568,0.009999998845160007
